,audience_count,content_rating,runtime,production_company_popularity,actor_popularity,Main_Genre,director_popularity,author_popularity,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
3625,255,NR,95.0,NOT POPULAR,NOT POPULAR,Comedy,NOT THAT POPULAR,NOT THAT POPULAR,2,4,3
3626,1510,R,103.0,NOT THAT POPULAR,NOT THAT POPULAR,Drama,NOT THAT POPULAR,NOT THAT POPULAR,20,9,51
3627,3942,R,124.0,PRETTY DECENT,NOT THAT POPULAR,Drama,PRETTY DECENT,PRETTY DECENT,3,22,3
3628,970,NR,102.0,SUPER POPULAR,PRETTY DECENT,Action & Adventure,PRETTY DECENT,NOT POPULAR,6,12,4
3629,21397,R,147.0,SUPER POPULAR,POPULAR,Art House & International,POPULAR,PRETTY DECENT,42,102,53
3630,8312,G,124.0,NOT THAT POPULAR,PRETTY DECENT,Drama,PRETTY DECENT,PRETTY DECENT,1,4,2
3631,5439,R,98.0,POPULAR,SUPER POPULAR,Drama,PRETTY DECENT,PRETTY DECENT,26,31,49
3632,768,R,100.0,SUPER POPULAR,PRETTY DECENT,Drama,NOT THAT POPULAR,NOT POPULAR,15,43,12
3633,4684,PG-13,97.0,PRETTY DECENT,NOT THAT POPULAR,Drama,NOT THAT POPULAR,NOT THAT POPULAR,17,35,6
3634,37487,R,144.0,POPULAR,PRETTY DECENT,Drama,SUPER POPULAR,PRETTY DECENT,43,117,38
3635,881,NR,100.0,PRETTY DECENT,PRETTY DECENT,Drama,NOT THAT POPULAR,NOT POPULAR,8,9,4
3636,567,R,93.0,PRETTY DECENT,SUPER POPULAR,Drama,NOT THAT POPULAR,NOT POPULAR,5,8,12
3637,3047,R,96.0,SUPER POPULAR,NOT THAT POPULAR,Action & Adventure,PRETTY DECENT,POPULAR,3,8,5
3638,45740,PG,80.0,SUPER POPULAR,PRETTY DECENT,Action & Adventure,POPULAR,PRETTY DECENT,7,17,15
3639,137904,R,90.0,WORLDCLASS,POPULAR,Horror,POPULAR,POPULAR,20,9,54
