,audience_count,content_rating,runtime,production_company_popularity,actor_popularity,Main_Genre,director_popularity,author_popularity,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
0,254421,PG,119.0,WORLDCLASS,POPULAR,Action & Adventure,SUPER POPULAR,POPULAR,43,73,76
1,11574,R,90.0,SUPER POPULAR,PRETTY DECENT,Comedy,POPULAR,POPULAR,44,123,19
2,14684,R,122.0,PRETTY DECENT,POPULAR,Comedy,POPULAR,POPULAR,2,16,8
3,105386,NR,95.0,POPULAR,POPULAR,Classics,POPULAR,POPULAR,6,54,0
4,68918,G,127.0,SUPER POPULAR,POPULAR,Action & Adventure,POPULAR,PRETTY DECENT,5,24,3
5,411140,PG-13,109.0,WORLDCLASS,POPULAR,Action & Adventure,WORLDCLASS,POPULAR,37,12,137
6,23890,NR,80.0,PRETTY DECENT,PRETTY DECENT,Action & Adventure,SUPER POPULAR,PRETTY DECENT,8,49,2
7,9243,NR,92.0,WORLDCLASS,PRETTY DECENT,Classics,PRETTY DECENT,NOT THAT POPULAR,6,27,1
8,4819,PG,103.0,PRETTY DECENT,NOT THAT POPULAR,Comedy,NOT THAT POPULAR,NOT THAT POPULAR,0,2,8
9,457,NR,97.0,WORLDCLASS,NOT THAT POPULAR,Classics,PRETTY DECENT,NOT POPULAR,4,9,2
10,21475,PG-13,100.0,PRETTY DECENT,PRETTY DECENT,Art House & International,POPULAR,PRETTY DECENT,3,12,3
11,20821,R,110.0,WORLDCLASS,SUPER POPULAR,Drama,POPULAR,PRETTY DECENT,1,20,2
12,25944,R,143.0,SUPER POPULAR,POPULAR,Drama,PRETTY DECENT,PRETTY DECENT,37,21,62
13,335,NR,97.0,WORLDCLASS,NOT THAT POPULAR,Drama,POPULAR,PRETTY DECENT,1,10,0
14,10563,NR,101.0,SUPER POPULAR,POPULAR,Classics,POPULAR,PRETTY DECENT,6,27,1
15,1935,PG,124.0,POPULAR,POPULAR,Art House & International,NOT THAT POPULAR,NOT THAT POPULAR,13,1,23
16,286,PG,92.0,PRETTY DECENT,NOT POPULAR,Drama,NOT THAT POPULAR,NOT POPULAR,6,18,0
17,6711,R,87.0,WORLDCLASS,SUPER POPULAR,Drama,NOT THAT POPULAR,NOT THAT POPULAR,35,85,39
18,1046,G,86.0,NOT THAT POPULAR,NOT THAT POPULAR,Action & Adventure,NOT THAT POPULAR,NOT THAT POPULAR,1,4,1
19,4692,G,90.0,NOT THAT POPULAR,SUPER POPULAR,Documentary,NOT THAT POPULAR,POPULAR,18,35,17
20,33946,PG,102.0,SUPER POPULAR,PRETTY DECENT,Action & Adventure,POPULAR,PRETTY DECENT,8,48,0
21,554,NR,100.0,SUPER POPULAR,PRETTY DECENT,Classics,POPULAR,PRETTY DECENT,0,11,1
22,10373,R,83.0,POPULAR,POPULAR,Comedy,PRETTY DECENT,PRETTY DECENT,1,6,2
23,386,R,103.0,NOT THAT POPULAR,NOT POPULAR,Comedy,POPULAR,NOT POPULAR,1,4,1
24,914,R,77.0,NOT POPULAR,PRETTY DECENT,Art House & International,NOT POPULAR,NOT POPULAR,4,0,6
25,220956,PG-13,126.0,WORLDCLASS,SUPER POPULAR,Drama,SUPER POPULAR,POPULAR,36,38,83
26,867,NR,94.0,PRETTY DECENT,NOT POPULAR,Art House & International,NOT THAT POPULAR,NOT THAT POPULAR,4,10,6
28,135400,R,121.0,WORLDCLASS,WORLDCLASS,Action & Adventure,POPULAR,POPULAR,39,54,77
29,13033,R,93.0,PRETTY DECENT,PRETTY DECENT,Comedy,PRETTY DECENT,PRETTY DECENT,2,0,5
30,279994,PG-13,88.0,WORLDCLASS,SUPER POPULAR,Action & Adventure,POPULAR,SUPER POPULAR,21,7,76
31,866,R,75.0,NOT THAT POPULAR,NOT POPULAR,Action & Adventure,NOT POPULAR,NOT POPULAR,7,14,1
32,134483,PG,94.0,WORLDCLASS,POPULAR,Animation,SUPER POPULAR,SUPER POPULAR,30,20,72
33,2622,R,90.0,POPULAR,NOT THAT POPULAR,Horror,NOT THAT POPULAR,NOT THAT POPULAR,4,6,12
34,1295,R,108.0,POPULAR,NOT THAT POPULAR,Horror,NOT THAT POPULAR,NOT THAT POPULAR,10,7,27
35,1460,NR,150.0,SUPER POPULAR,PRETTY DECENT,Classics,PRETTY DECENT,PRETTY DECENT,6,0,12
36,1135,NR,71.0,WORLDCLASS,NOT THAT POPULAR,Classics,POPULAR,PRETTY DECENT,0,11,0
37,73701,R,97.0,SUPER POPULAR,SUPER POPULAR,Action & Adventure,POPULAR,POPULAR,39,117,39
38,2059,PG-13,107.0,NOT THAT POPULAR,NOT THAT POPULAR,Art House & International,NOT THAT POPULAR,NOT THAT POPULAR,6,2,11
39,9701,G,130.0,PRETTY DECENT,NOT THAT POPULAR,Art House & International,PRETTY DECENT,PRETTY DECENT,10,26,4
40,6203,PG-13,98.0,PRETTY DECENT,NOT THAT POPULAR,Comedy,PRETTY DECENT,PRETTY DECENT,26,44,25
41,7436,PG-13,91.0,SUPER POPULAR,NOT THAT POPULAR,Comedy,PRETTY DECENT,PRETTY DECENT,25,24,51
42,23294,PG-13,130.0,WORLDCLASS,POPULAR,Drama,POPULAR,POPULAR,39,87,56
43,7337,NR,192.0,NOT THAT POPULAR,POPULAR,Action & Adventure,PRETTY DECENT,PRETTY DECENT,4,11,10
44,1143,R,96.0,NOT THAT POPULAR,NOT THAT POPULAR,Drama,NOT THAT POPULAR,NOT THAT POPULAR,17,7,22
45,5383,G,141.0,WORLDCLASS,PRETTY DECENT,Classics,PRETTY DECENT,PRETTY DECENT,1,0,8
46,14669,PG,114.0,WORLDCLASS,POPULAR,Classics,POPULAR,PRETTY DECENT,6,26,1
47,4059,PG-13,102.0,NOT THAT POPULAR,POPULAR,Drama,POPULAR,NOT THAT POPULAR,1,1,6
48,79542,PG-13,104.0,WORLDCLASS,PRETTY DECENT,Drama,PRETTY DECENT,PRETTY DECENT,8,7,9
49,1430,R,90.0,PRETTY DECENT,NOT THAT POPULAR,Drama,NOT THAT POPULAR,NOT THAT POPULAR,6,6,4
50,429674,R,137.0,WORLDCLASS,SUPER POPULAR,Action & Adventure,WORLDCLASS,WORLDCLASS,17,74,2
51,8239,R,97.0,PRETTY DECENT,PRETTY DECENT,Horror,PRETTY DECENT,POPULAR,2,5,9
52,45248,PG,138.0,WORLDCLASS,POPULAR,Classics,POPULAR,POPULAR,22,76,1
53,1121,R,87.0,POPULAR,NOT THAT POPULAR,Comedy,NOT THAT POPULAR,NOT THAT POPULAR,19,16,22
54,2394,R,88.0,POPULAR,PRETTY DECENT,Comedy,NOT THAT POPULAR,NOT THAT POPULAR,13,8,19
55,7326,R,97.0,NOT THAT POPULAR,POPULAR,Drama,PRETTY DECENT,PRETTY DECENT,10,6,22
56,113424,PG-13,85.0,WORLDCLASS,POPULAR,Horror,POPULAR,POPULAR,18,6,53
57,14346,PG,93.0,POPULAR,SUPER POPULAR,Comedy,POPULAR,PRETTY DECENT,10,35,6
58,7588,NR,156.0,PRETTY DECENT,NOT THAT POPULAR,Drama,PRETTY DECENT,PRETTY DECENT,0,5,0
59,5650,PG-13,88.0,NOT THAT POPULAR,POPULAR,Art House & International,NOT THAT POPULAR,NOT THAT POPULAR,5,10,5
61,4866,PG,109.0,WORLDCLASS,NOT THAT POPULAR,Classics,PRETTY DECENT,PRETTY DECENT,9,40,2
62,2989,NR,86.0,NOT THAT POPULAR,NOT THAT POPULAR,Documentary,NOT THAT POPULAR,NOT THAT POPULAR,11,22,0
63,455,G,143.0,NOT POPULAR,PRETTY DECENT,Action & Adventure,PRETTY DECENT,NOT THAT POPULAR,2,1,4
64,4038,NR,76.0,POPULAR,NOT THAT POPULAR,Comedy,NOT THAT POPULAR,NOT THAT POPULAR,14,28,4
65,1416,PG-13,97.0,SUPER POPULAR,NOT THAT POPULAR,Documentary,NOT THAT POPULAR,PRETTY DECENT,22,48,11
66,4728,NR,92.0,POPULAR,NOT THAT POPULAR,Art House & International,NOT THAT POPULAR,NOT THAT POPULAR,17,31,5
68,684,R,86.0,NOT POPULAR,PRETTY DECENT,Art House & International,NOT THAT POPULAR,PRETTY DECENT,6,4,7
70,20404,R,116.0,PRETTY DECENT,PRETTY DECENT,Action & Adventure,PRETTY DECENT,PRETTY DECENT,2,7,2
71,54320,PG,116.0,PRETTY DECENT,SUPER POPULAR,Drama,POPULAR,POPULAR,37,85,41
74,3329,R,88.0,NOT THAT POPULAR,POPULAR,Horror,NOT THAT POPULAR,PRETTY DECENT,4,7,6
75,2381,R,106.0,PRETTY DECENT,PRETTY DECENT,Drama,NOT THAT POPULAR,NOT THAT POPULAR,25,17,31
77,519,R,81.0,PRETTY DECENT,NOT POPULAR,Art House & International,NOT POPULAR,NOT POPULAR,2,7,0
78,660,R,106.0,WORLDCLASS,PRETTY DECENT,Comedy,POPULAR,PRETTY DECENT,5,3,18
79,30371,PG-13,95.0,POPULAR,PRETTY DECENT,Comedy,PRETTY DECENT,PRETTY DECENT,0,6,3
80,3523,R,97.0,POPULAR,SUPER POPULAR,Art House & International,NOT THAT POPULAR,NOT THAT POPULAR,14,10,30
81,8464,NR,107.0,NOT THAT POPULAR,POPULAR,Comedy,PRETTY DECENT,PRETTY DECENT,25,52,11
82,25860,R,84.0,POPULAR,POPULAR,Art House & International,PRETTY DECENT,PRETTY DECENT,44,72,53
83,1341,PG-13,102.0,PRETTY DECENT,NOT THAT POPULAR,Action & Adventure,PRETTY DECENT,NOT THAT POPULAR,6,0,16
84,77951,R,99.0,POPULAR,SUPER POPULAR,Comedy,POPULAR,POPULAR,28,29,53
85,370222,R,89.0,WORLDCLASS,SUPER POPULAR,Drama,SUPER POPULAR,SUPER POPULAR,42,32,151
86,10937,PG-13,120.0,SUPER POPULAR,PRETTY DECENT,Comedy,PRETTY DECENT,PRETTY DECENT,32,61,28
88,4194,R,104.0,POPULAR,NOT THAT POPULAR,Drama,NOT THAT POPULAR,NOT THAT POPULAR,0,8,0
89,9001,PG-13,90.0,POPULAR,PRETTY DECENT,Drama,PRETTY DECENT,NOT THAT POPULAR,1,6,5
90,1333,NR,95.0,PRETTY DECENT,NOT THAT POPULAR,Drama,NOT THAT POPULAR,NOT THAT POPULAR,24,52,7
91,1719,PG-13,73.0,POPULAR,NOT THAT POPULAR,Documentary,NOT THAT POPULAR,NOT THAT POPULAR,2,3,3
92,514,NR,86.0,NOT THAT POPULAR,NOT POPULAR,Documentary,PRETTY DECENT,NOT POPULAR,12,24,2
93,49454,R,93.0,WORLDCLASS,PRETTY DECENT,Drama,PRETTY DECENT,POPULAR,6,10,12
94,776189,PG,95.0,SUPER POPULAR,SUPER POPULAR,Animation,SUPER POPULAR,SUPER POPULAR,47,105,96
95,4961,PG,93.0,SUPER POPULAR,POPULAR,Documentary,NOT THAT POPULAR,NOT THAT POPULAR,22,53,2
96,89,NR,99.0,PRETTY DECENT,WHO?,Art House & International,WHO?,WHO?,0,7,2
97,186570,PG,91.0,WORLDCLASS,SUPER POPULAR,Comedy,SUPER POPULAR,POPULAR,29,40,59
98,45155,R,98.0,PRETTY DECENT,POPULAR,Drama,PRETTY DECENT,PRETTY DECENT,23,12,42
99,303458,PG-13,97.0,SUPER POPULAR,SUPER POPULAR,Drama,POPULAR,POPULAR,13,17,63
100,11098,R,87.0,PRETTY DECENT,PRETTY DECENT,Horror,POPULAR,POPULAR,0,1,7
101,86594,R,103.0,SUPER POPULAR,POPULAR,Comedy,POPULAR,PRETTY DECENT,17,8,51
102,10869,R,96.0,WORLDCLASS,PRETTY DECENT,Horror,PRETTY DECENT,PRETTY DECENT,1,9,3
103,143577,R,100.0,SUPER POPULAR,SUPER POPULAR,Drama,POPULAR,POPULAR,5,24,9
104,11792,R,115.0,SUPER POPULAR,SUPER POPULAR,Comedy,POPULAR,POPULAR,29,28,47
105,102884,PG-13,100.0,SUPER POPULAR,SUPER POPULAR,Comedy,POPULAR,POPULAR,39,72,82
106,1123,PG,95.0,SUPER POPULAR,NOT THAT POPULAR,Comedy,NOT THAT POPULAR,NOT THAT POPULAR,7,7,6
107,538861,R,101.0,WORLDCLASS,SUPER POPULAR,Action & Adventure,SUPER POPULAR,POPULAR,28,8,108
108,288,PG,99.0,NOT POPULAR,NOT POPULAR,Comedy,NOT THAT POPULAR,NOT THAT POPULAR,4,5,4
109,1685,R,94.0,NOT THAT POPULAR,POPULAR,Drama,NOT THAT POPULAR,PRETTY DECENT,3,4,9
110,17496,PG-13,98.0,WORLDCLASS,POPULAR,Comedy,PRETTY DECENT,PRETTY DECENT,9,11,16
111,7416,R,108.0,NOT THAT POPULAR,POPULAR,Drama,NOT THAT POPULAR,NOT THAT POPULAR,2,2,6
112,3201,NR,90.0,PRETTY DECENT,NOT THAT POPULAR,Documentary,NOT THAT POPULAR,NOT THAT POPULAR,12,25,1
114,2308,PG,99.0,SUPER POPULAR,NOT THAT POPULAR,Documentary,NOT THAT POPULAR,NOT THAT POPULAR,29,43,16
115,3785,NR,138.0,POPULAR,PRETTY DECENT,Art House & International,NOT THAT POPULAR,NOT THAT POPULAR,1,3,3
116,10100,PG-13,101.0,POPULAR,SUPER POPULAR,Drama,PRETTY DECENT,PRETTY DECENT,22,16,31
118,16715,R,88.0,SUPER POPULAR,PRETTY DECENT,Drama,PRETTY DECENT,PRETTY DECENT,1,0,13
119,571,PG-13,101.0,POPULAR,NOT POPULAR,Drama,NOT POPULAR,NOT POPULAR,16,21,6
121,5828,PG,146.0,WORLDCLASS,NOT THAT POPULAR,Art House & International,PRETTY DECENT,NOT THAT POPULAR,10,8,13
122,4354,NR,147.0,POPULAR,NOT THAT POPULAR,Art House & International,NOT THAT POPULAR,PRETTY DECENT,2,4,2
123,12577,PG-13,106.0,SUPER POPULAR,POPULAR,Drama,PRETTY DECENT,PRETTY DECENT,29,52,43
124,501711,PG-13,99.0,WORLDCLASS,WORLDCLASS,Comedy,POPULAR,POPULAR,38,34,99
125,55694,R,116.0,WORLDCLASS,POPULAR,Action & Adventure,PRETTY DECENT,PRETTY DECENT,43,125,39
126,41569,R,96.0,POPULAR,POPULAR,Drama,PRETTY DECENT,PRETTY DECENT,27,23,48
128,8165,R,92.0,PRETTY DECENT,POPULAR,Comedy,NOT THAT POPULAR,NOT THAT POPULAR,6,4,16
129,5083,PG-13,90.0,POPULAR,SUPER POPULAR,Comedy,PRETTY DECENT,PRETTY DECENT,38,64,54
130,294,R,165.0,NOT POPULAR,NOT POPULAR,Drama,NOT POPULAR,NOT POPULAR,7,3,16
131,14554,R,110.0,SUPER POPULAR,WORLDCLASS,Art House & International,PRETTY DECENT,PRETTY DECENT,3,2,10
132,225138,R,101.0,POPULAR,POPULAR,Drama,POPULAR,POPULAR,41,24,124
133,18505,R,98.0,PRETTY DECENT,SUPER POPULAR,Drama,PRETTY DECENT,PRETTY DECENT,38,13,92
134,200,NR,84.0,POPULAR,NOT POPULAR,Documentary,NOT POPULAR,NOT POPULAR,11,18,4
135,11850,PG,102.0,WORLDCLASS,SUPER POPULAR,Comedy,POPULAR,POPULAR,17,46,3
137,8978,PG-13,100.0,PRETTY DECENT,NOT THAT POPULAR,Comedy,NOT THAT POPULAR,NOT THAT POPULAR,11,25,0
138,44190,PG-13,102.0,SUPER POPULAR,PRETTY DECENT,Comedy,POPULAR,POPULAR,39,50,73
139,159645,PG-13,96.0,SUPER POPULAR,POPULAR,Kids & Family,POPULAR,POPULAR,25,11,48
140,9062,NR,151.0,SUPER POPULAR,NOT THAT POPULAR,Art House & International,PRETTY DECENT,PRETTY DECENT,19,50,4
141,542684,PG-13,102.0,WORLDCLASS,SUPER POPULAR,Action & Adventure,SUPER POPULAR,POPULAR,50,49,141
142,50437,R,78.0,PRETTY DECENT,PRETTY DECENT,Art House & International,PRETTY DECENT,PRETTY DECENT,5,34,4
143,709,R,98.0,NOT POPULAR,NOT POPULAR,Comedy,PRETTY DECENT,POPULAR,11,21,14
144,1598,R,98.0,POPULAR,NOT THAT POPULAR,Classics,PRETTY DECENT,PRETTY DECENT,1,3,5
145,359098,PG-13,113.0,WORLDCLASS,WORLDCLASS,Horror,WORLDCLASS,WORLDCLASS,30,68,87
146,931,PG-13,109.0,NOT POPULAR,PRETTY DECENT,Comedy,NOT THAT POPULAR,NOT POPULAR,15,18,18
147,372,R,90.0,POPULAR,NOT POPULAR,Drama,NOT POPULAR,NOT POPULAR,5,4,9
148,3952,R,90.0,NOT THAT POPULAR,NOT THAT POPULAR,Horror,NOT THAT POPULAR,NOT THAT POPULAR,8,16,4
149,367852,PG-13,122.0,SUPER POPULAR,POPULAR,Drama,SUPER POPULAR,POPULAR,40,60,110
150,865,NR,137.0,POPULAR,NOT THAT POPULAR,Art House & International,NOT THAT POPULAR,NOT THAT POPULAR,30,46,20
151,6744,NR,93.0,POPULAR,NOT THAT POPULAR,Art House & International,NOT THAT POPULAR,NOT THAT POPULAR,15,26,12
152,130010,R,128.0,WORLDCLASS,WORLDCLASS,Drama,WORLDCLASS,SUPER POPULAR,54,117,96
153,29523,PG-13,92.0,POPULAR,SUPER POPULAR,Drama,PRETTY DECENT,PRETTY DECENT,11,6,25
154,3058,R,104.0,POPULAR,SUPER POPULAR,Comedy,NOT THAT POPULAR,NOT THAT POPULAR,17,17,26
155,4944,R,93.0,SUPER POPULAR,NOT THAT POPULAR,Comedy,POPULAR,NOT THAT POPULAR,17,32,8
156,241178,PG-13,85.0,WORLDCLASS,POPULAR,Horror,POPULAR,POPULAR,13,6,60
157,86623,PG-13,87.0,POPULAR,POPULAR,Action & Adventure,POPULAR,POPULAR,18,15,85
158,2548,R,88.0,POPULAR,NOT THAT POPULAR,Horror,PRETTY DECENT,PRETTY DECENT,10,19,20
159,14816,R,103.0,SUPER POPULAR,POPULAR,Art House & International,POPULAR,PRETTY DECENT,13,29,16
160,12642,R,118.0,POPULAR,PRETTY DECENT,Drama,POPULAR,PRETTY DECENT,45,126,11
161,1775,R,81.0,SUPER POPULAR,PRETTY DECENT,Drama,NOT THAT POPULAR,NOT THAT POPULAR,17,22,14
162,2607,R,95.0,SUPER POPULAR,POPULAR,Drama,NOT THAT POPULAR,POPULAR,11,19,8
163,1058,R,95.0,NOT THAT POPULAR,NOT THAT POPULAR,Drama,NOT THAT POPULAR,NOT THAT POPULAR,10,6,12
164,248465,R,110.0,SUPER POPULAR,POPULAR,Drama,POPULAR,POPULAR,53,158,57
165,964669,PG,88.0,WORLDCLASS,SUPER POPULAR,Action & Adventure,POPULAR,SUPER POPULAR,37,28,99
166,4522,R,90.0,POPULAR,SUPER POPULAR,Drama,POPULAR,NOT THAT POPULAR,17,6,33
167,68912,PG-13,109.0,SUPER POPULAR,POPULAR,Drama,PRETTY DECENT,POPULAR,48,105,65
168,62045,PG-13,114.0,PRETTY DECENT,POPULAR,Comedy,PRETTY DECENT,PRETTY DECENT,44,20,128
169,633778,R,140.0,SUPER POPULAR,WORLDCLASS,Action & Adventure,SUPER POPULAR,SUPER POPULAR,58,188,90
171,17308,R,144.0,SUPER POPULAR,POPULAR,Art House & International,PRETTY DECENT,PRETTY DECENT,20,42,16
172,6982,PG,100.0,PRETTY DECENT,POPULAR,Classics,NOT THAT POPULAR,PRETTY DECENT,0,5,2
173,284,R,105.0,SUPER POPULAR,NOT POPULAR,Mystery & Suspense,POPULAR,PRETTY DECENT,4,2,5
174,30089,R,113.0,SUPER POPULAR,POPULAR,Drama,POPULAR,PRETTY DECENT,3,23,6
175,182900,PG,88.0,WORLDCLASS,SUPER POPULAR,Comedy,POPULAR,POPULAR,35,6,104
176,295050,PG-13,88.0,SUPER POPULAR,WORLDCLASS,Action & Adventure,POPULAR,SUPER POPULAR,27,43,73
177,84738,R,86.0,SUPER POPULAR,POPULAR,Comedy,PRETTY DECENT,POPULAR,28,41,36
178,97063,R,122.0,SUPER POPULAR,PRETTY DECENT,Drama,POPULAR,POPULAR,50,76,70
179,54256,R,100.0,WORLDCLASS,SUPER POPULAR,Comedy,POPULAR,POPULAR,33,45,53
180,82504,PG,86.0,WORLDCLASS,SUPER POPULAR,Animation,POPULAR,POPULAR,30,36,57
182,266,NR,80.0,PRETTY DECENT,NOT THAT POPULAR,Comedy,NOT THAT POPULAR,NOT THAT POPULAR,1,4,2
183,334,PG-13,95.0,NOT POPULAR,PRETTY DECENT,Drama,NOT POPULAR,NOT POPULAR,6,2,14
184,21295,R,96.0,SUPER POPULAR,PRETTY DECENT,Drama,PRETTY DECENT,PRETTY DECENT,40,106,14
185,173,NR,99.0,PRETTY DECENT,NOT POPULAR,Art House & International,NOT POPULAR,NOT POPULAR,7,5,13
186,3026,R,115.0,POPULAR,POPULAR,Drama,PRETTY DECENT,PRETTY DECENT,11,11,14
187,368619,PG,89.0,WORLDCLASS,SUPER POPULAR,Animation,SUPER POPULAR,POPULAR,30,17,67
188,23425,NR,150.0,SUPER POPULAR,PRETTY DECENT,Art House & International,PRETTY DECENT,PRETTY DECENT,39,113,19
189,31189,R,97.0,PRETTY DECENT,POPULAR,Comedy,PRETTY DECENT,PRETTY DECENT,3,11,16
191,1884,NR,117.0,POPULAR,POPULAR,Drama,NOT THAT POPULAR,NOT THAT POPULAR,22,39,16
192,793,PG-13,94.0,NOT POPULAR,NOT POPULAR,Comedy,NOT POPULAR,NOT POPULAR,6,5,11
193,2026452,PG-13,111.0,SUPER POPULAR,SUPER POPULAR,Mystery & Suspense,SUPER POPULAR,SUPER POPULAR,31,29,98
194,13899,R,104.0,SUPER POPULAR,POPULAR,Action & Adventure,PRETTY DECENT,PRETTY DECENT,13,15,9
195,689,R,78.0,PRETTY DECENT,POPULAR,Drama,NOT POPULAR,NOT POPULAR,7,0,18
196,831848,PG-13,88.0,SUPER POPULAR,POPULAR,Horror,SUPER POPULAR,SUPER POPULAR,25,12,107
197,10344,R,104.0,POPULAR,PRETTY DECENT,Action & Adventure,PRETTY DECENT,PRETTY DECENT,4,5,12
198,9885,PG-13,112.0,NOT THAT POPULAR,POPULAR,Drama,PRETTY DECENT,NOT THAT POPULAR,10,6,15
199,12249,R,110.0,SUPER POPULAR,PRETTY DECENT,Action & Adventure,POPULAR,PRETTY DECENT,11,25,9
200,39765,PG,122.0,PRETTY DECENT,PRETTY DECENT,Drama,POPULAR,POPULAR,7,8,13
201,4448,R,145.0,POPULAR,PRETTY DECENT,Art House & International,NOT THAT POPULAR,NOT THAT POPULAR,4,13,2
202,457,NR,80.0,POPULAR,NOT POPULAR,Documentary,NOT POPULAR,NOT POPULAR,10,19,5
203,13218,R,82.0,PRETTY DECENT,PRETTY DECENT,Horror,PRETTY DECENT,PRETTY DECENT,16,27,10
204,15345,R,104.0,PRETTY DECENT,SUPER POPULAR,Comedy,PRETTY DECENT,PRETTY DECENT,15,23,15
205,4363,NR,96.0,POPULAR,POPULAR,Romance,NOT THAT POPULAR,PRETTY DECENT,2,7,2
206,860325,PG-13,108.0,WORLDCLASS,SUPER POPULAR,Comedy,SUPER POPULAR,POPULAR,47,84,104
207,97063,R,99.0,POPULAR,POPULAR,Comedy,PRETTY DECENT,PRETTY DECENT,27,30,53
209,1587,NR,91.0,SUPER POPULAR,NOT THAT POPULAR,Mystery & Suspense,PRETTY DECENT,NOT THAT POPULAR,2,4,4
210,3066,NR,95.0,SUPER POPULAR,PRETTY DECENT,Classics,PRETTY DECENT,NOT THAT POPULAR,0,13,1
211,872860,R,123.0,WORLDCLASS,POPULAR,Drama,SUPER POPULAR,SUPER POPULAR,42,86,68
213,943179,R,99.0,WORLDCLASS,SUPER POPULAR,Comedy,SUPER POPULAR,SUPER POPULAR,51,187,52
214,982237,PG-13,101.0,SUPER POPULAR,SUPER POPULAR,Horror,SUPER POPULAR,POPULAR,15,7,56
215,51962,PG-13,130.0,POPULAR,PRETTY DECENT,Art House & International,PRETTY DECENT,PRETTY DECENT,37,86,22
218,79868,PG-13,95.0,SUPER POPULAR,SUPER POPULAR,Action & Adventure,SUPER POPULAR,PRETTY DECENT,30,14,110
219,1554,R,106.0,SUPER POPULAR,NOT THAT POPULAR,Mystery & Suspense,NOT THAT POPULAR,NOT THAT POPULAR,7,11,11
220,79384,R,89.0,WORLDCLASS,PRETTY DECENT,Comedy,PRETTY DECENT,PRETTY DECENT,21,4,76
221,1722,R,93.0,POPULAR,NOT THAT POPULAR,Drama,NOT THAT POPULAR,NOT THAT POPULAR,17,6,31
222,10269,R,94.0,POPULAR,PRETTY DECENT,Drama,PRETTY DECENT,PRETTY DECENT,4,22,9
223,662,PG-13,109.0,PRETTY DECENT,POPULAR,Drama,POPULAR,PRETTY DECENT,2,5,2
224,11070,PG-13,106.0,PRETTY DECENT,PRETTY DECENT,Action & Adventure,PRETTY DECENT,PRETTY DECENT,9,5,20
225,3690,NR,90.0,SUPER POPULAR,PRETTY DECENT,Action & Adventure,NOT THAT POPULAR,POPULAR,3,4,8
226,1551,R,96.0,SUPER POPULAR,POPULAR,Comedy,PRETTY DECENT,PRETTY DECENT,15,9,24
227,6767,NR,95.0,POPULAR,PRETTY DECENT,Comedy,NOT THAT POPULAR,NOT THAT POPULAR,12,16,9
228,231,NR,89.0,NOT POPULAR,NOT POPULAR,Art House & International,NOT POPULAR,NOT POPULAR,2,0,6
229,7007,R,125.0,SUPER POPULAR,PRETTY DECENT,Art House & International,PRETTY DECENT,PRETTY DECENT,19,19,23
231,21592,R,112.0,POPULAR,POPULAR,Drama,PRETTY DECENT,PRETTY DECENT,41,145,17
232,2856,R,89.0,POPULAR,NOT THAT POPULAR,Horror,NOT THAT POPULAR,NOT THAT POPULAR,2,20,1
233,1723,NR,115.0,POPULAR,NOT THAT POPULAR,Art House & International,NOT THAT POPULAR,NOT THAT POPULAR,10,22,5
234,38188,NR,125.0,WORLDCLASS,POPULAR,Classics,POPULAR,POPULAR,17,66,5
235,801,PG,97.0,SUPER POPULAR,PRETTY DECENT,Comedy,NOT THAT POPULAR,NOT THAT POPULAR,6,5,13
236,510,NR,62.0,NOT THAT POPULAR,PRETTY DECENT,Classics,NOT POPULAR,NOT POPULAR,0,3,4
237,194974,PG,107.0,WORLDCLASS,POPULAR,Drama,POPULAR,SUPER POPULAR,36,29,93
238,6683,R,90.0,SUPER POPULAR,NOT THAT POPULAR,Documentary,PRETTY DECENT,PRETTY DECENT,24,46,14
239,2118,PG-13,107.0,NOT THAT POPULAR,NOT THAT POPULAR,Art House & International,NOT THAT POPULAR,NOT THAT POPULAR,28,54,10
240,172,PG,79.0,NOT POPULAR,NOT POPULAR,Drama,NOT POPULAR,NOT POPULAR,10,14,7
241,19477,R,133.0,SUPER POPULAR,PRETTY DECENT,Art House & International,POPULAR,PRETTY DECENT,35,93,22
242,1881,R,108.0,SUPER POPULAR,NOT THAT POPULAR,Action & Adventure,PRETTY DECENT,PRETTY DECENT,10,20,2
244,13437,R,89.0,WORLDCLASS,PRETTY DECENT,Horror,PRETTY DECENT,PRETTY DECENT,1,10,10
245,94562,R,89.0,POPULAR,POPULAR,Action & Adventure,POPULAR,PRETTY DECENT,15,13,40
246,42784,R,104.0,SUPER POPULAR,SUPER POPULAR,Comedy,PRETTY DECENT,PRETTY DECENT,32,17,47
247,21197,R,97.0,SUPER POPULAR,POPULAR,Action & Adventure,PRETTY DECENT,PRETTY DECENT,21,33,36
249,3560,PG-13,100.0,POPULAR,PRETTY DECENT,Drama,NOT THAT POPULAR,NOT THAT POPULAR,10,26,2
250,171610,PG,125.0,WORLDCLASS,SUPER POPULAR,Action & Adventure,POPULAR,POPULAR,54,123,120
251,613,R,102.0,SUPER POPULAR,NOT POPULAR,Drama,NOT POPULAR,NOT POPULAR,6,4,11
252,2341,R,85.0,PRETTY DECENT,POPULAR,Comedy,NOT THAT POPULAR,NOT THAT POPULAR,2,6,3
